run_id,experiment_name,model,dataset,task,metric_name,seed,best_epoch,val_metric,test_metric,train_time_seconds,num_parameters,device,git_commit,config_hash,status
2026-05-22_13-09-58__mlp__pubmed__seed-2__3d3ac287,manual,mlp,pubmed,node_classification,accuracy,2,62,0.628000020980835,0.6500000357627869,1.717456526006572,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,3d3ac287,completed
2026-05-22_13-10-08__gcn__cora__seed-0__fa98f34f,manual,gcn,cora,node_classification,accuracy,0,85,0.6760000586509705,0.675000011920929,2.41057148197433,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,fa98f34f,completed
2026-05-22_13-10-19__gcn__cora__seed-1__4917c82f,manual,gcn,cora,node_classification,accuracy,1,130,0.6220000386238098,0.64000004529953,3.394584160996601,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,4917c82f,completed
2026-05-22_13-10-32__gcn__cora__seed-2__058ce47e,manual,gcn,cora,node_classification,accuracy,2,91,0.6160000562667847,0.6370000243186951,2.804742549022194,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,058ce47e,completed
2026-05-22_13-10-43__gcn__pubmed__seed-0__0e082de7,manual,gcn,pubmed,node_classification,accuracy,0,86,0.734000027179718,0.7430000305175781,2.518147115013562,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,0e082de7,completed
2026-05-22_13-10-55__gcn__pubmed__seed-1__316d31f0,manual,gcn,pubmed,node_classification,accuracy,1,79,0.718000054359436,0.7230000495910645,2.705173496971838,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,316d31f0,completed
2026-05-22_13-11-06__gcn__pubmed__seed-2__1b7ccf67,manual,gcn,pubmed,node_classification,accuracy,2,2,0.5,0.5190000534057617,1.4581187519943342,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,1b7ccf67,completed
2026-05-22_13-11-16__gat__cora__seed-0__bfea7070,manual,gat,cora,node_classification,accuracy,0,46,0.7240000367164612,0.734000027179718,2.2787658279994503,201991,cuda,46f3954891a4714fd29028c43b70d24bddd37580,bfea7070,completed
2026-05-22_13-11-28__gat__cora__seed-1__0ec36cc0,manual,gat,cora,node_classification,accuracy,1,52,0.7260000109672546,0.7300000190734863,2.635227421007585,201991,cuda,46f3954891a4714fd29028c43b70d24bddd37580,0ec36cc0,completed
2026-05-22_13-11-39__gat__cora__seed-2__06e7e4cd,manual,gat,cora,node_classification,accuracy,2,65,0.7440000176429749,0.7360000610351562,2.41126451396849,201991,cuda,46f3954891a4714fd29028c43b70d24bddd37580,06e7e4cd,completed
